CATEGORY,word,distance
apologetic,ごめん,1.0
apologetic,サンルイ,1.0
apologetic,すみません,1.0
apologetic,すいません,0.9648448824882507
apologetic,ごめん,0.9103987216949463
apologetic,スイマセン,0.9018281698226929
apologetic,スミマセン,0.9003781080245972
apologetic,ごめんなさい,0.8687502145767212
apologetic,すんません,0.867997407913208
apologetic,ゴメン,0.8351792097091675
apologetic,ゴメン,0.8351792097091675
apologetic,ゴメン,0.8009528517723083
apologetic,ごめんなさい,0.7879087328910828
apologetic,ごめんなさい,0.7879087328910828
apologetic,ごめんなさい,0.7731252312660217
apologetic,すいません,0.7395466566085815
apologetic,すみません,0.7355828881263733
apologetic,ゴメンネ,0.7345490455627441
apologetic,ゴメンネ,0.7345490455627441
apologetic,すいません,0.7241889834403992
apologetic,すいません,0.7241889834403992
apologetic,すまん,0.7181928157806396
apologetic,すまん,0.7181928157806396
apologetic,すんません,0.7091219425201416
apologetic,ゴメンナサイ,0.7054157257080078
apologetic,スミマセン,0.7004551291465759
apologetic,ゴメンネ,0.6935771107673645
apologetic,スイマセン,0.6814737319946289
apologetic,スマン,0.6725296378135681
apologetic,ゴメンネ・・・,0.668674111366272
apologetic,すまん,0.6645311713218689
apologetic,・・ゴメンナサイ,0.6450990438461304
apologetic,ｺﾞﾒﾝ,0.6284561157226562
apologetic,・・ゴメンネ,0.6197192072868347
apologetic,スイマセン・・・,0.6158739924430847
apologetic,ゴメンネー,0.6154558062553406
apologetic,ｽﾐﾏｾﾝ,0.6143550872802734
apologetic,・・スマン,0.6120780110359192
apologetic,ｺﾞﾒﾝﾅｻｲ,0.6064914464950562
apologetic,しつこくっ,0.6048809289932251
apologetic,ｺﾞﾒﾝﾈ,0.5996213555335999
apologetic,申し訳,0.5989812612533569
apologetic,スンマセン,0.5971026420593262
apologetic,スミマセンデシタ,0.5961240530014038
apologetic,・・スミマセン,0.5960531234741211
apologetic,ありがと,0.5935251116752625
apologetic,スミマセン・・・,0.5933277010917664
apologetic,ｽｲﾏｾﾝ,0.5928542613983154
apologetic,ゴメンナサーイ,0.5904918313026428
apologetic,スマヌ,0.5857862234115601
apologetic,スマン・・・,0.5852962136268616
apologetic,・スミマセン,0.5841836929321289
apologetic,スミマセン・・,0.5838829874992371
apologetic,ゴメンナサイネ,0.5824068784713745
apologetic,すません,0.5812829732894897
apologetic,スンマソン,0.5797801613807678
apologetic,スイマセン・・,0.5786076188087463
apologetic,謝ん,0.578271210193634
apologetic,><；,0.5747084617614746
apologetic,ほんと,0.574548602104187
apologetic,・・スイマセン,0.5724709033966064
apologetic,ゴメンナサイ・・・,0.571724534034729
apologetic,(>__<),0.5710550546646118
apologetic,ゴメンナサイ・・,0.570976734161377
apologetic,申しわけ,0.5672321319580078
apologetic,スミマセーン,0.5666590332984924
apologetic,失礼,0.5657365918159485
apologetic,ゴメソ,0.5647245049476624
apologetic,ちゃっ,0.5636157393455505
apologetic,ゅみましぇん,0.5630574822425842
apologetic,スンマソ,0.5612455606460571
apologetic,めんご,0.5611284971237183
apologetic,ホント,0.5588971376419067
apologetic,スンマセン・・・,0.558185338973999
apologetic,つまんない,0.5547715425491333
apologetic,いえいえ,0.553554892539978
apologetic,ゴメンチャイ,0.553428053855896
apologetic,もうしわけ,0.5486762523651123
apologetic,はぁ,0.5475682616233826
apologetic,><）,0.5462366342544556
apologetic,・・・スミマセン,0.5460333824157715
apologetic,スイマセーン,0.5460204482078552
apologetic,(≧≦),0.5455734729766846
apologetic,はやとちり,0.545055627822876
apologetic,あぁ,0.544489324092865
apologetic,ゴメンヨ,0.5438550114631653
apologetic,ｽﾏﾝ,0.5433976650238037
apologetic,謝っ,0.543148934841156
apologetic,・・スンマセン,0.5412067174911499
apologetic,ううん,0.5410596132278442
apologetic,スミマセンスミマセン,0.5404196381568909
apologetic,スマンスマン,0.5400488376617432
apologetic,ｽﾝﾏｾﾝ,0.5392695069313049
apologetic,ゴミン,0.5388051271438599
apologetic,ｺﾞﾒｿ,0.5383056998252869
apologetic,スンマヘン,0.5368168354034424
apologetic,よぅ,0.5340929627418518
